CPU/Processor,Ratings,Price,Model No,Link,Brand,Desktop_Type,Processor_Series,Processor_Model,Socket,Cores,Operating_Frequency,Threads,Max Turbo Frequency,Cpu/Processor,Processor_Type,no_of_tread
,"(4,103)",£147.59 –,Model #: 100-100000065BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-5600x/p/N82E16819113666,AMD,,Ryzen 5 5000 Series,Ryzen 5 5600X,Socket AM4,6-Core,3.7 GHz,,4.6 GHz,AMD Ryzen 5 5600X - Ryzen 5 5000 Series Vermeer (Zen 3) 6-Core 3.7 GHz Socket AM4 65W None Integrated Graphics Desktop Processor - 100-100000065BOX,Desktop,12-Threads
,"(4,103)",£206.39 –,Model #: 100-100000063WOF,https://www.newegg.com/global/uk-en/amd-ryzen-7-5800x/p/N82E16819113665,AMD,,Ryzen 7 5000 Series,Ryzen 7 5800X,Socket AM4,8-Core,3.8 GHz,,4.7 GHz,AMD Ryzen 7 5800X - Ryzen 7 5000 Series Vermeer (Zen 3) 8-Core 3.8 GHz Socket AM4 105W None Integrated Graphics Desktop Processor - 100-100000063WOF,Desktop,16-Threads
,"(4,103)",£284.39 –,Model #: 100-100000061WOF,https://www.newegg.com/global/uk-en/amd-ryzen-9-5900x/p/N82E16819113664,AMD,,Ryzen 9 5000 Series,Ryzen 9 5900X,Socket AM4,12-Core,3.7 GHz,,4.8 GHz,AMD Ryzen 9 5900X - Ryzen 9 5000 Series Vermeer (Zen 3) 12-Core 3.7 GHz Socket AM4 105W None Integrated Graphics Desktop Processor - 100-100000061WOF,Desktop,24-Threads
,(578),£142.79 –,Model #: BX8070110100,https://www.newegg.com/global/uk-en/intel-core-i3-10100-core-i3-10th-gen/p/N82E16819118138,Intel,,Core i3 10th Gen,Core i3-10100,LGA 1200,Quad-Core,3.6 GHz,,4.30 GHz,Intel Core i3-10100 - Core i3 10th Gen Comet Lake Quad-Core 3.6 GHz LGA 1200 65W Intel UHD Graphics 630 Desktop Processor - BX8070110100,Desktop,8-Threads
,(553),£362.39 –,Model #: 100-100000910WOF,https://www.newegg.com/global/uk-en/amd-ryzen-7-7800x3d-ryzen-7-7000-series/p/N82E16819113793,AMD,,Ryzen 7 7000 Series,Ryzen 7 7800X3D,Socket AM5,8-Core,4.2 GHz,,Up to 5.0 GHz,AMD Ryzen 7 7800X3D - Ryzen 7 7000 Series 8-Core 4.2 GHz Socket AM5 120W AMD Radeon Graphics Desktop Processor - 100-100000910WOF,Desktop,16-Threads
,(91),£559.19 –,Model #: BX8071514900K,https://www.newegg.com/global/uk-en/intel-core-i9-14900k-core-i9-14th-gen/p/N82E16819118462,Intel,,Efficient-core (E-core),Performance Hybrid Architecture1,LGA 1700,24-Core (8P+16E),Performance-core Base Frequency: 3.2 GHzEfficient-core Base Frequency: 2.4 GHz,,Intel Thermal Velocity Boost Frequency: Up to 6.0 GHzIntel Turbo Boost Max Technology 3.0 Frequency: Up to 5.8 GHzP-core Max Turbo Frequency: Up to 5.6 GHzE-core Max Turbo Frequency: Up to 4.4 GHz,Intel Core i9-14900K - Core i9 14th Gen 24-Core (8P+16E) LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - Boxed - BX8071514900K,Performance-core (P-core),32-Threads
,(72),£194.39 –,Model #: 100-100001015BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-7600/p/N82E16819113787,AMD,,Ryzen 5 7000 Series,Ryzen 5 7600,Socket AM5,6-Core,3.8 GHz,,Up to 5.1GHz,AMD Ryzen 5 7600 - Ryzen 5 7000 Series 6-Core 3.8 GHz Socket AM5 65W AMD Radeon Graphics Processor - 100-100001015BOX,Desktop,12-Threads
,(641),£225.59 –,Model #: 100-100000593WOF,https://www.newegg.com/global/uk-en/amd-ryzen-5-7600x-ryzen-5-7000-series/p/N82E16819113770,AMD,,Ryzen 5 7000 Series,Ryzen 5 7600X,Socket AM5,6-Core,4.7 GHz,,Up to 5.3 GHz,AMD Ryzen 5 7600X - 6-Core 4.7 GHz - Socket AM5 - 105W Desktop Processor (100-100000593WOF),Desktop,12-Threads
,(553),£574.79 –,Model #: 100-100000908WOF,https://www.newegg.com/global/uk-en/amd-ryzen-9-7950x3d-ryzen-9-7000-series/p/N82E16819113791,AMD,,Ryzen 9 7000 Series,Ryzen 9 7950X3D,Socket AM5,16-Core,4.2 GHz,,Up to 5.7 GHz,AMD Ryzen 9 7950X3D - Ryzen 9 7000 Series 16-Core 4.2 GHz Socket AM5 120W AMD Radeon Graphics Desktop Processor - 100-100000908WOF,Desktop,32-Threads
,(73),£425.99 –,Model #: BX8071514700K,https://www.newegg.com/global/uk-en/intel-core-i7-14700k-core-i7-14th-gen/p/N82E16819118466,Intel,,Efficient-core (E-core),Performance Hybrid Architecture1,LGA 1700,20-Core (8P+12E),Performance-core Base Frequency: 3.4 GHzEfficient-core Base Frequency: 2.5 GHz,,Intel Turbo Boost Max Technology 3.0 Frequency: Up to 5.6 GHzP-core Max Turbo Frequency: Up to 5.5 GHzE-core Max Turbo Frequency: Up to 4.3 GHz,Intel Core i7-14700K - Core i7 14th Gen 20-Core (8P+12E) LGA 1700 125W Intel UHD Graphics 770 Processor - Boxed - BX8071514700K,Performance-core (P-core),28-Threads
