CPU/Processor,Ratings,Price,Model No,Link
AMD Ryzen 5 5600X - Ryzen 5 5000 Series Vermeer (Zen 3) 6-Core 3.7 GHz Socket AM4 65W None Integrated Graphics Desktop Processor - 100-100000065BOX,"(4,098)",160,Model #: 100-100000065BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-5600x/p/N82E16819113666
AMD Ryzen 7 7800X3D - Ryzen 7 7000 Series 8-Core 4.2 GHz Socket AM5 120W AMD Radeon Graphics Desktop Processor - 100-100000910WOF,(549),380,Model #: 100-100000910WOF,https://www.newegg.com/global/uk-en/amd-ryzen-7-7800x3d-ryzen-7-7000-series/p/N82E16819113793
AMD Ryzen 5 7600 - Ryzen 5 7000 Series 6-Core 3.8 GHz Socket AM5 65W AMD Radeon Graphics Processor - 100-100001015BOX,(71),206,Model #: 100-100001015BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-7600/p/N82E16819113787
AMD Ryzen 5 7600X - 6-Core 4.7 GHz - Socket AM5 - 105W Desktop Processor (100-100000593WOF),(638),215,Model #: 100-100000593WOF,https://www.newegg.com/global/uk-en/amd-ryzen-5-7600x-ryzen-5-7000-series/p/N82E16819113770
Intel Core i9-14900K - Core i9 14th Gen 24-Core (8P+16E) LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - Boxed - BX8071514900K,(90),561,Model #: BX8071514900K,https://www.newegg.com/global/uk-en/intel-core-i9-14900k-core-i9-14th-gen/p/N82E16819118462
AMD Ryzen 9 7950X3D - Ryzen 9 7000 Series 16-Core 4.2 GHz Socket AM5 120W AMD Radeon Graphics Desktop Processor - 100-100000908WOF,(549),599,Model #: 100-100000908WOF,https://www.newegg.com/global/uk-en/amd-ryzen-9-7950x3d-ryzen-9-7000-series/p/N82E16819113791
Intel Core i7-14700K - Core i7 14th Gen 20-Core (8P+12E) LGA 1700 125W Intel UHD Graphics 770 Processor - Boxed - BX8071514700K,(71),411,Model #: BX8071514700K,https://www.newegg.com/global/uk-en/intel-core-i7-14700k-core-i7-14th-gen/p/N82E16819118466
Intel Core i5-13600K - Core i5 13th Gen Raptor Lake 14-Core (6P+8E) 3.5 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513600K,(874),292,Model #: BX8071513600K,https://www.newegg.com/global/uk-en/intel-core-i5-13600k-core-i5-13th-gen/p/N82E16819118416
Intel Core i9-13900K - Core i9 13th Gen Raptor Lake 24-Core (8P+16E) P-core Base Frequency: 3.0 GHz E-core Base Frequency: 2.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513900,(874),529,Model #: BX8071513900K,https://www.newegg.com/global/uk-en/intel-core-i9-13900k-core-i9-13th-gen/p/N82E16819118412
Intel Core i7-12700KF - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Desktop Processor - BX8071512700KF,(133),248,Model #: BX8071512700KF,https://www.newegg.com/global/uk-en/intel-core-i7-12700kf-core-i7-12th-gen/p/N82E16819118345
